,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride
0,13742.0,,,,,,,mlir_sparsity_50_stride_1,50,1
1,,620989.0,,,,,,mlir_sparsity_50_stride_1,50,1
2,,,,,,6499674.0,,mlir_sparsity_50_stride_1,50,1
3,,,,,10100090.0,,,mlir_sparsity_50_stride_1,50,1
4,,,,,,,83.0,mlir_sparsity_50_stride_1,50,1
5,,,,0.0,,,,mlir_sparsity_50_stride_1,50,1
6,,,0.0,,,,,mlir_sparsity_50_stride_1,50,1
7,,,,,10032793.0,,,mlir_sparsity_50_stride_2,50,2
8,,,0.0,,,,,mlir_sparsity_50_stride_2,50,2
9,,,,0.0,,,,mlir_sparsity_50_stride_2,50,2
10,,,,,,,83.0,mlir_sparsity_50_stride_2,50,2
11,,,,,,6500318.0,,mlir_sparsity_50_stride_2,50,2
12,,620953.0,,,,,,mlir_sparsity_50_stride_2,50,2
13,13588.0,,,,,,,mlir_sparsity_50_stride_2,50,2
14,13611.0,,,,,,,mlir_sparsity_50_stride_3,50,3
15,,,,,10052251.0,,,mlir_sparsity_50_stride_3,50,3
16,,,,,,,83.0,mlir_sparsity_50_stride_3,50,3
17,,,,0.0,,,,mlir_sparsity_50_stride_3,50,3
18,,,0.0,,,,,mlir_sparsity_50_stride_3,50,3
19,,,,,,6496454.0,,mlir_sparsity_50_stride_3,50,3
20,,620548.0,,,,,,mlir_sparsity_50_stride_3,50,3
21,,570344.0,,,,,,mlir_sparsity_55_stride_1,55,1
22,,,0.0,,,,,mlir_sparsity_55_stride_1,55,1
23,,,,,,,83.0,mlir_sparsity_55_stride_1,55,1
24,,,,,9510600.0,,,mlir_sparsity_55_stride_1,55,1
25,,,,,,5944308.0,,mlir_sparsity_55_stride_1,55,1
26,13626.0,,,,,,,mlir_sparsity_55_stride_1,55,1
27,,,,0.0,,,,mlir_sparsity_55_stride_1,55,1
28,13629.0,,,,,,,mlir_sparsity_55_stride_2,55,2
29,,,0.0,,,,,mlir_sparsity_55_stride_2,55,2
30,,568754.0,,,,,,mlir_sparsity_55_stride_2,55,2
31,,,,,,5933093.0,,mlir_sparsity_55_stride_2,55,2
