,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride
0,13567.0,,,,,,,mlir_sparsity_50_stride_1,50,1
1,,,,,,1721731.0,,mlir_sparsity_50_stride_1,50,1
2,,,,,6685955.0,,,mlir_sparsity_50_stride_1,50,1
3,,,,,,,83.0,mlir_sparsity_50_stride_1,50,1
4,,,,0.0,,,,mlir_sparsity_50_stride_1,50,1
5,,189939.0,,,,,,mlir_sparsity_50_stride_1,50,1
6,,,0.0,,,,,mlir_sparsity_50_stride_1,50,1
7,,,0.0,,,,,mlir_sparsity_50_stride_3,50,3
8,,,,0.0,,,,mlir_sparsity_50_stride_3,50,3
9,,,,,,,82.0,mlir_sparsity_50_stride_3,50,3
10,,,,,4377743.0,,,mlir_sparsity_50_stride_3,50,3
11,,,,,,1084730.0,,mlir_sparsity_50_stride_3,50,3
12,,126510.0,,,,,,mlir_sparsity_50_stride_3,50,3
13,13411.0,,,,,,,mlir_sparsity_50_stride_3,50,3
14,13422.0,,,,,,,mlir_sparsity_50_stride_5,50,5
15,,114020.0,,,,,,mlir_sparsity_50_stride_5,50,5
16,,,,,,958567.0,,mlir_sparsity_50_stride_5,50,5
17,,,,,,,82.0,mlir_sparsity_50_stride_5,50,5
18,,,,0.0,,,,mlir_sparsity_50_stride_5,50,5
19,,,0.0,,,,,mlir_sparsity_50_stride_5,50,5
20,,,,,3800466.0,,,mlir_sparsity_50_stride_5,50,5
21,,,0.0,,,,,mlir_sparsity_55_stride_1,55,1
22,,,,0.0,,,,mlir_sparsity_55_stride_1,55,1
23,,,,,,,83.0,mlir_sparsity_55_stride_1,55,1
24,,,,,6468310.0,,,mlir_sparsity_55_stride_1,55,1
25,,,,,,1640035.0,,mlir_sparsity_55_stride_1,55,1
26,13745.0,,,,,,,mlir_sparsity_55_stride_1,55,1
27,,181873.0,,,,,,mlir_sparsity_55_stride_1,55,1
28,,,,,,1086281.0,,mlir_sparsity_55_stride_3,55,3
29,,,,,4397136.0,,,mlir_sparsity_55_stride_3,55,3
30,,,,,,,82.0,mlir_sparsity_55_stride_3,55,3
31,,,,0.0,,,,mlir_sparsity_55_stride_3,55,3
32,,,0.0,,,,,mlir_sparsity_55_stride_3,55,3
33,,126772.0,,,,,,mlir_sparsity_55_stride_3,55,3
34,13366.0,,,,,,,mlir_sparsity_55_stride_3,55,3
35,,113096.0,,,,,,mlir_sparsity_55_stride_5,55,5
36,,,,,,951833.0,,mlir_sparsity_55_stride_5,55,5
37,13458.0,,,,,,,mlir_sparsity_55_stride_5,55,5
38,,,,,3816584.0,,,mlir_sparsity_55_stride_5,55,5
39,,,,,,,81.0,mlir_sparsity_55_stride_5,55,5
40,,,,0.0,,,,mlir_sparsity_55_stride_5,55,5
41,,,0.0,,,,,mlir_sparsity_55_stride_5,55,5
42,,,,,,1552658.0,,mlir_sparsity_60_stride_1,60,1
43,,,,,6052328.0,,,mlir_sparsity_60_stride_1,60,1
44,,,,,,,83.0,mlir_sparsity_60_stride_1,60,1
45,,,,0.0,,,,mlir_sparsity_60_stride_1,60,1
46,,,0.0,,,,,mlir_sparsity_60_stride_1,60,1
47,,173127.0,,,,,,mlir_sparsity_60_stride_1,60,1
48,13547.0,,,,,,,mlir_sparsity_60_stride_1,60,1
49,,,0.0,,,,,mlir_sparsity_60_stride_3,60,3
50,,,,0.0,,,,mlir_sparsity_60_stride_3,60,3
51,,,,,,,82.0,mlir_sparsity_60_stride_3,60,3
52,,,,,4387907.0,,,mlir_sparsity_60_stride_3,60,3
53,,,,,,1087157.0,,mlir_sparsity_60_stride_3,60,3
54,13479.0,,,,,,,mlir_sparsity_60_stride_3,60,3
55,,127040.0,,,,,,mlir_sparsity_60_stride_3,60,3
56,,113396.0,,,,,,mlir_sparsity_60_stride_5,60,5
57,,,,,,953590.0,,mlir_sparsity_60_stride_5,60,5
58,,,,,3825255.0,,,mlir_sparsity_60_stride_5,60,5
59,,,,,,,82.0,mlir_sparsity_60_stride_5,60,5
60,,,,0.0,,,,mlir_sparsity_60_stride_5,60,5
61,,,0.0,,,,,mlir_sparsity_60_stride_5,60,5
62,13279.0,,,,,,,mlir_sparsity_60_stride_5,60,5
63,,,,,5742341.0,,,mlir_sparsity_65_stride_1,65,1
64,,,,,,,83.0,mlir_sparsity_65_stride_1,65,1
65,,,,0.0,,,,mlir_sparsity_65_stride_1,65,1
66,,,0.0,,,,,mlir_sparsity_65_stride_1,65,1
67,,,,,,1473222.0,,mlir_sparsity_65_stride_1,65,1
68,,165276.0,,,,,,mlir_sparsity_65_stride_1,65,1
69,13634.0,,,,,,,mlir_sparsity_65_stride_1,65,1
70,13378.0,,,,,,,mlir_sparsity_65_stride_3,65,3
71,,,0.0,,,,,mlir_sparsity_65_stride_3,65,3
72,,,,0.0,,,,mlir_sparsity_65_stride_3,65,3
73,,,,,,,81.0,mlir_sparsity_65_stride_3,65,3
74,,,,,4362133.0,,,mlir_sparsity_65_stride_3,65,3
75,,,,,,1078828.0,,mlir_sparsity_65_stride_3,65,3
76,,125729.0,,,,,,mlir_sparsity_65_stride_3,65,3
77,,,,,,,82.0,mlir_sparsity_65_stride_5,65,5
78,,,,,,955537.0,,mlir_sparsity_65_stride_5,65,5
79,,113490.0,,,,,,mlir_sparsity_65_stride_5,65,5
80,13164.0,,,,,,,mlir_sparsity_65_stride_5,65,5
81,,,,0.0,,,,mlir_sparsity_65_stride_5,65,5
82,,,,,3825431.0,,,mlir_sparsity_65_stride_5,65,5
83,,,0.0,,,,,mlir_sparsity_65_stride_5,65,5
84,13447.0,,,,,,,mlir_sparsity_70_stride_1,70,1
85,,157471.0,,,,,,mlir_sparsity_70_stride_1,70,1
86,,,,,,1394530.0,,mlir_sparsity_70_stride_1,70,1
87,,,,,5355824.0,,,mlir_sparsity_70_stride_1,70,1
88,,,,,,,83.0,mlir_sparsity_70_stride_1,70,1
89,,,,0.0,,,,mlir_sparsity_70_stride_1,70,1
90,,,0.0,,,,,mlir_sparsity_70_stride_1,70,1
91,,126581.0,,,,,,mlir_sparsity_70_stride_3,70,3
92,,,,,,1084634.0,,mlir_sparsity_70_stride_3,70,3
93,,,,,,,82.0,mlir_sparsity_70_stride_3,70,3
94,,,,0.0,,,,mlir_sparsity_70_stride_3,70,3
95,,,0.0,,,,,mlir_sparsity_70_stride_3,70,3
96,13432.0,,,,,,,mlir_sparsity_70_stride_3,70,3
97,,,,,4427498.0,,,mlir_sparsity_70_stride_3,70,3
