,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride,Vector Size
0,,,0.0,,,,,mlir_sparsity_50_stride_1-checkpoint,50,1,
1,,,,0.0,,,,mlir_sparsity_50_stride_1-checkpoint,50,1,
2,,,,,,,83.0,mlir_sparsity_50_stride_1-checkpoint,50,1,
3,,,,,6685955.0,,,mlir_sparsity_50_stride_1-checkpoint,50,1,
4,,,,,,1721731.0,,mlir_sparsity_50_stride_1-checkpoint,50,1,
5,,189939.0,,,,,,mlir_sparsity_50_stride_1-checkpoint,50,1,
6,13567.0,,,,,,,mlir_sparsity_50_stride_1-checkpoint,50,1,
7,,,0.0,,,,,mlir_sparsity_55_stride_5-checkpoint,55,5,
8,,,,0.0,,,,mlir_sparsity_55_stride_5-checkpoint,55,5,
9,,,,,,,81.0,mlir_sparsity_55_stride_5-checkpoint,55,5,
10,,,,,3816584.0,,,mlir_sparsity_55_stride_5-checkpoint,55,5,
11,,,,,,951833.0,,mlir_sparsity_55_stride_5-checkpoint,55,5,
12,,113096.0,,,,,,mlir_sparsity_55_stride_5-checkpoint,55,5,
13,13458.0,,,,,,,mlir_sparsity_55_stride_5-checkpoint,55,5,
