,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride,Vector Size
0,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,4
1,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_1,50,1,4
2,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_1,50,1,4
3,,,,,6699105.0,,,results_vector_mlir_sparsity_50_stride_1,50,1,4
4,,,,,,1728041.0,,results_vector_mlir_sparsity_50_stride_1,50,1,4
5,,190787.0,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,4
6,13697.0,,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,4
7,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,4
8,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_2,50,2,4
9,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_2,50,2,4
10,,,,,6631244.0,,,results_vector_mlir_sparsity_50_stride_2,50,2,4
11,,,,,,1723713.0,,results_vector_mlir_sparsity_50_stride_2,50,2,4
12,,190396.0,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,4
13,13530.0,,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,4
14,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,4
15,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_3,50,3,4
16,,,,,,,82.0,results_vector_mlir_sparsity_50_stride_3,50,3,4
17,,,,,6629744.0,,,results_vector_mlir_sparsity_50_stride_3,50,3,4
18,,,,,,1718116.0,,results_vector_mlir_sparsity_50_stride_3,50,3,4
19,,189606.0,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,4
20,13544.0,,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,4
21,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,4
22,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_1,55,1,4
23,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_1,55,1,4
24,,,,,6437487.0,,,results_vector_mlir_sparsity_55_stride_1,55,1,4
25,,,,,,1637787.0,,results_vector_mlir_sparsity_55_stride_1,55,1,4
26,,181768.0,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,4
27,13508.0,,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,4
28,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,4
29,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_2,55,2,4
30,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_2,55,2,4
31,,,,,6463370.0,,,results_vector_mlir_sparsity_55_stride_2,55,2,4
32,,,,,,1642460.0,,results_vector_mlir_sparsity_55_stride_2,55,2,4
33,,181998.0,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,4
34,13691.0,,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,4
35,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,4
36,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_3,55,3,4
37,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_3,55,3,4
38,,,,,6411585.0,,,results_vector_mlir_sparsity_55_stride_3,55,3,4
39,,,,,,1646166.0,,results_vector_mlir_sparsity_55_stride_3,55,3,4
40,,182711.0,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,4
41,13692.0,,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,4
42,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,4
43,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_1,60,1,4
44,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_1,60,1,4
45,,,,,6076997.0,,,results_vector_mlir_sparsity_60_stride_1,60,1,4
46,,,,,,1558670.0,,results_vector_mlir_sparsity_60_stride_1,60,1,4
47,,173992.0,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,4
48,13656.0,,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,4
49,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,4
50,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_2,60,2,4
51,,,,,,,82.0,results_vector_mlir_sparsity_60_stride_2,60,2,4
52,,,,,6064543.0,,,results_vector_mlir_sparsity_60_stride_2,60,2,4
53,,,,,,1545317.0,,results_vector_mlir_sparsity_60_stride_2,60,2,4
54,,172297.0,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,4
55,13711.0,,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,4
56,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,4
57,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_3,60,3,4
58,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_3,60,3,4
59,,,,,6082709.0,,,results_vector_mlir_sparsity_60_stride_3,60,3,4
60,,,,,,1561322.0,,results_vector_mlir_sparsity_60_stride_3,60,3,4
61,,174287.0,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,4
62,13510.0,,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,4
63,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,4
64,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_1,65,1,4
65,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_1,65,1,4
66,,,,,5765729.0,,,results_vector_mlir_sparsity_65_stride_1,65,1,4
67,,,,,,1473171.0,,results_vector_mlir_sparsity_65_stride_1,65,1,4
68,,165243.0,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,4
69,13636.0,,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,4
70,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_2,65,2,4
71,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_2,65,2,4
72,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_2,65,2,4
73,,,,,5832989.0,,,results_vector_mlir_sparsity_65_stride_2,65,2,4
74,,,,,,1470027.0,,results_vector_mlir_sparsity_65_stride_2,65,2,4
75,,164801.0,,,,,,results_vector_mlir_sparsity_65_stride_2,65,2,4
76,13523.0,,,,,,,results_vector_mlir_sparsity_65_stride_2,65,2,4
77,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,4
78,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_3,65,3,4
79,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_3,65,3,4
80,,,,,5842580.0,,,results_vector_mlir_sparsity_65_stride_3,65,3,4
81,,,,,,1477511.0,,results_vector_mlir_sparsity_65_stride_3,65,3,4
82,,165836.0,,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,4
83,13500.0,,,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,4
