,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride,Vector Size
0,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_1,50,1,8
1,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_1,50,1,8
2,,,,,6927601.0,,,results_vector_mlir_sparsity_50_stride_1,50,1,8
3,,,,,,1413375.0,,results_vector_mlir_sparsity_50_stride_1,50,1,8
4,,160747.0,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,8
5,13609.0,,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,8
6,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,8
7,13440.0,,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,8
8,,161498.0,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,8
9,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,8
10,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_2,50,2,8
11,,,,,,,84.0,results_vector_mlir_sparsity_50_stride_2,50,2,8
12,,,,,6854047.0,,,results_vector_mlir_sparsity_50_stride_2,50,2,8
13,,,,,,1417539.0,,results_vector_mlir_sparsity_50_stride_2,50,2,8
14,,,,,6886850.0,,,results_vector_mlir_sparsity_50_stride_3,50,3,8
15,,160772.0,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,8
16,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_3,50,3,8
17,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,8
18,13563.0,,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,8
19,,,,,,1411436.0,,results_vector_mlir_sparsity_50_stride_3,50,3,8
20,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_3,50,3,8
21,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,8
22,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_1,55,1,8
23,13431.0,,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,8
24,,156099.0,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,8
25,,,,,,,84.0,results_vector_mlir_sparsity_55_stride_1,55,1,8
26,,,,,6609979.0,,,results_vector_mlir_sparsity_55_stride_1,55,1,8
27,,,,,,1364475.0,,results_vector_mlir_sparsity_55_stride_1,55,1,8
28,13493.0,,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,8
29,,153991.0,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,8
30,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,8
31,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_2,55,2,8
32,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_2,55,2,8
33,,,,,6551451.0,,,results_vector_mlir_sparsity_55_stride_2,55,2,8
34,,,,,,1348523.0,,results_vector_mlir_sparsity_55_stride_2,55,2,8
35,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,8
36,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_3,55,3,8
37,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_3,55,3,8
38,,154439.0,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,8
39,13463.0,,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,8
40,,,,,6554258.0,,,results_vector_mlir_sparsity_55_stride_3,55,3,8
41,,,,,,1353246.0,,results_vector_mlir_sparsity_55_stride_3,55,3,8
42,13478.0,,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,8
43,,,,,,1308851.0,,results_vector_mlir_sparsity_60_stride_1,60,1,8
44,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,8
45,,150120.0,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,8
46,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_1,60,1,8
47,,,,,6266219.0,,,results_vector_mlir_sparsity_60_stride_1,60,1,8
48,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_1,60,1,8
49,13692.0,,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,8
50,,148586.0,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,8
51,,,,,,1297359.0,,results_vector_mlir_sparsity_60_stride_2,60,2,8
52,,,,,6228155.0,,,results_vector_mlir_sparsity_60_stride_2,60,2,8
53,,,,,,,82.0,results_vector_mlir_sparsity_60_stride_2,60,2,8
54,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_2,60,2,8
55,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,8
56,13476.0,,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,8
57,,148736.0,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,8
58,,,,,,1296947.0,,results_vector_mlir_sparsity_60_stride_3,60,3,8
59,,,,,6164654.0,,,results_vector_mlir_sparsity_60_stride_3,60,3,8
60,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_3,60,3,8
61,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_3,60,3,8
62,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,8
63,,143871.0,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,8
64,,,,,,1249780.0,,results_vector_mlir_sparsity_65_stride_1,65,1,8
65,,,,,5893176.0,,,results_vector_mlir_sparsity_65_stride_1,65,1,8
66,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_1,65,1,8
67,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_1,65,1,8
68,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,8
69,13610.0,,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,8
