,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride
0,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_1,50,1
1,,,,,,,82.0,results_vector_mlir_sparsity_50_stride_1,50,1
2,,,,,13156555.0,,,results_vector_mlir_sparsity_50_stride_1,50,1
3,,,,,,2137281.0,,results_vector_mlir_sparsity_50_stride_1,50,1
4,,130601.0,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1
5,14208.0,,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1
6,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_1,50,1
7,14342.0,,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2
8,,131416.0,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2
9,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_2,50,2
10,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_2,50,2
11,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_2,50,2
12,,,,,13023545.0,,,results_vector_mlir_sparsity_50_stride_2,50,2
13,,,,,,2142427.0,,results_vector_mlir_sparsity_50_stride_2,50,2
14,,,,,13017629.0,,,results_vector_mlir_sparsity_50_stride_3,50,3
15,,130763.0,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3
16,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_3,50,3
17,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_3,50,3
18,13927.0,,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3
19,,,,,,2136153.0,,results_vector_mlir_sparsity_50_stride_3,50,3
20,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_3,50,3
21,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_1,55,1
22,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_1,55,1
23,14397.0,,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1
24,,128752.0,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1
25,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_1,55,1
26,,,,,12097620.0,,,results_vector_mlir_sparsity_55_stride_1,55,1
27,,,,,,2013229.0,,results_vector_mlir_sparsity_55_stride_1,55,1
28,13628.0,,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2
29,,128586.0,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2
30,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_2,55,2
31,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_2,55,2
32,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_2,55,2
33,,,,,12037502.0,,,results_vector_mlir_sparsity_55_stride_2,55,2
34,,,,,,2011075.0,,results_vector_mlir_sparsity_55_stride_2,55,2
