Executable,Sparsity Level,Stride,Implementation,Branch Misses_value,Branches_value,Context Switch_value,CPU Migration_value,Cycles_value,Instructions_value,Page Faults_value
mlir_sparsity_50_stride_1,50,1,Vector,13567.0,189939.0,0.0,0.0,6685955.0,1721731.0,83.0
mlir_sparsity_50_stride_3,50,3,Vector,13411.0,126510.0,0.0,0.0,4377743.0,1084730.0,82.0
mlir_sparsity_50_stride_5,50,5,Vector,13422.0,114020.0,0.0,0.0,3800466.0,958567.0,82.0
mlir_sparsity_55_stride_1,55,1,Vector,13745.0,181873.0,0.0,0.0,6468310.0,1640035.0,83.0
mlir_sparsity_55_stride_3,55,3,Vector,13366.0,126772.0,0.0,0.0,4397136.0,1086281.0,82.0
mlir_sparsity_55_stride_5,55,5,Vector,13458.0,113096.0,0.0,0.0,3816584.0,951833.0,81.0
mlir_sparsity_60_stride_1,60,1,Vector,13547.0,173127.0,0.0,0.0,6052328.0,1552658.0,83.0
mlir_sparsity_60_stride_3,60,3,Vector,13479.0,127040.0,0.0,0.0,4387907.0,1087157.0,82.0
mlir_sparsity_60_stride_5,60,5,Vector,13279.0,113396.0,0.0,0.0,3825255.0,953590.0,82.0
mlir_sparsity_65_stride_1,65,1,Vector,13634.0,165276.0,0.0,0.0,5742341.0,1473222.0,83.0
mlir_sparsity_65_stride_3,65,3,Vector,13378.0,125729.0,0.0,0.0,4362133.0,1078828.0,81.0
mlir_sparsity_65_stride_5,65,5,Vector,13164.0,113490.0,0.0,0.0,3825431.0,955537.0,82.0
mlir_sparsity_70_stride_1,70,1,Vector,13447.0,157471.0,0.0,0.0,5355824.0,1394530.0,83.0
mlir_sparsity_70_stride_3,70,3,Vector,13432.0,126581.0,0.0,0.0,4427498.0,1084634.0,82.0
mlir_sparsity_70_stride_5,70,5,Vector,13360.0,113688.0,0.0,0.0,3843775.0,955735.0,82.0
mlir_sparsity_75_stride_1,75,1,Vector,13571.0,148339.0,0.0,0.0,5052144.0,1303825.0,82.0
