Executable,Sparsity Level,Stride,Implementation,Branch Misses_value,Branches_value,Context Switch_value,CPU Migration_value,Cycles_value,Instructions_value,Page Faults_value
mlir_sparsity_50_stride_1,50,1,Vector,13567.0,189939.0,0.0,0.0,6685955.0,1721731.0,83.0
mlir_sparsity_50_stride_3,50,3,Vector,13411.0,126510.0,0.0,0.0,4377743.0,1084730.0,82.0
mlir_sparsity_50_stride_5,50,5,Vector,13422.0,114020.0,0.0,0.0,3800466.0,958567.0,82.0
mlir_sparsity_55_stride_1,55,1,Vector,13745.0,181873.0,0.0,0.0,6468310.0,1640035.0,83.0
mlir_sparsity_55_stride_3,55,3,Vector,13366.0,126772.0,0.0,0.0,4397136.0,1086281.0,82.0
mlir_sparsity_55_stride_5,55,5,Vector,13458.0,113096.0,0.0,0.0,3816584.0,951833.0,81.0
mlir_sparsity_60_stride_1,60,1,Vector,13547.0,173127.0,0.0,0.0,6052328.0,1552658.0,83.0
mlir_sparsity_60_stride_3,60,3,Vector,13479.0,127040.0,0.0,0.0,4387907.0,1087157.0,82.0
mlir_sparsity_60_stride_5,60,5,Vector,13279.0,113396.0,0.0,0.0,3825255.0,953590.0,82.0
mlir_sparsity_65_stride_1,65,1,Vector,13634.0,165276.0,0.0,0.0,5742341.0,1473222.0,83.0
mlir_sparsity_65_stride_3,65,3,Vector,13378.0,125729.0,0.0,0.0,4362133.0,1078828.0,81.0
mlir_sparsity_65_stride_5,65,5,Vector,13164.0,113490.0,0.0,0.0,3825431.0,955537.0,82.0
mlir_sparsity_70_stride_1,70,1,Vector,13447.0,157471.0,0.0,0.0,5355824.0,1394530.0,83.0
mlir_sparsity_70_stride_3,70,3,Vector,13432.0,126581.0,0.0,0.0,4427498.0,1084634.0,82.0
mlir_sparsity_70_stride_5,70,5,Vector,13360.0,113688.0,0.0,0.0,3843775.0,955735.0,82.0
mlir_sparsity_75_stride_1,75,1,Vector,13571.0,148339.0,0.0,0.0,5052144.0,1303825.0,82.0
mlir_sparsity_75_stride_3,75,3,Vector,13326.0,125948.0,0.0,0.0,4396901.0,1079518.0,82.0
mlir_sparsity_75_stride_5,75,5,Vector,13432.0,113962.0,0.0,0.0,3804303.0,957474.0,82.0
mlir_sparsity_80_stride_1,80,1,Vector,13308.0,141274.0,0.0,0.0,4798493.0,1231009.0,83.0
mlir_sparsity_80_stride_3,80,3,Vector,13314.0,125970.0,0.0,0.0,4394415.0,1079362.0,81.0
mlir_sparsity_80_stride_5,80,5,Vector,13180.0,112809.0,0.0,0.0,3783669.0,948638.0,81.0
mlir_sparsity_85_stride_1,85,1,Vector,13816.0,132323.0,0.0,0.0,4495351.0,1142655.0,82.0
mlir_sparsity_85_stride_3,85,3,Vector,13479.0,125651.0,0.0,0.0,4359700.0,1078832.0,81.0
mlir_sparsity_85_stride_5,85,5,Vector,13439.0,114194.0,0.0,0.0,3891124.0,961964.0,82.0
mlir_sparsity_90_stride_1,90,1,Vector,13592.0,123279.0,0.0,0.0,4190619.0,1053848.0,82.0
mlir_sparsity_90_stride_3,90,3,Vector,13326.0,123633.0,0.0,0.0,4245908.0,1056641.0,82.0
mlir_sparsity_90_stride_5,90,5,Vector,13396.0,113181.0,0.0,0.0,3803341.0,951936.0,82.0
