Sparsity Level,Stride,cycles_speedup,instructions_speedup,branches_speedup
50,1,1.5054157558643455,3.76910446521553,3.2626685409526215
50,3,1.1772205449246336,2.0165986005734147,1.786657181250494
50,5,1.0686084285453414,1.3941059936342477,1.297956498859849
55,1,1.4566304026863277,3.6194879987317345,3.1305251466682793
55,3,1.1687225503145684,2.010471507832688,1.779943520651248
55,5,1.075145732414117,1.4098996357554319,1.3136273608262008
60,1,1.460221091784847,3.4657819043214926,2.9955755023768678
60,3,1.1798205841646143,2.0193228760887343,1.7846819899244333
60,5,1.0743168756069856,1.4031449574764836,1.3044463649511446
65,1,1.4166931221952859,3.2686662295295617,2.8238038190662893
65,3,1.1728154551913021,2.028047102967294,1.7984792689037532
65,5,1.0659836760877401,1.396953754799657,1.3013569477487004
70,1,1.3963851314008824,3.049790969000308,2.6358631113030335
70,3,1.150670875514794,2.013040343562898,1.7813020911511206
70,5,1.0503047134652783,1.3962018760430455,1.297331292660615
75,1,1.3309662194901808,2.8361536249113186,2.4577420637863274
75,3,1.1572700863630998,2.0224655818615345,1.789635405087814
75,5,1.0832872670762554,1.4044193367130595,1.3078306804022393
80,1,1.2681235546243372,2.540759653260049,2.207837252431445
80,3,1.1664756287241873,2.0214089434313975,1.787465269508613
80,5,1.066783590213626,1.4060937892009386,1.3073336347277256
85,1,1.2359226231722507,2.2561026731603153,1.9792628643546473
85,3,1.180294745051265,2.0293409909976714,1.7979562438818633
85,5,1.0385960457698085,1.3874063894282946,1.2928875422526578
90,1,1.151011580866693,1.902391046906195,1.6949115421117953
90,3,1.1507757586834195,1.9022070883109778,1.6956476021774123
90,5,1.0808625889711179,1.4092207879521312,1.3107412021452365
