value,unit,event,percentage,time,enabled_time,rate,description,value_numeric,file_name,full_path,directory,test_type,vector_size,operation_type,test_id
2.07,msec,task-clock,1.10%,2062583,100.0,0.535,CPUs utilized,2.07,elementwise_60_2,./results_scalar/mlir_files_elementwise/elementwise_60_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3704796.0,,cycles,1.11%,2062583,100.0,1.791,GHz,3704796.0,elementwise_60_2,./results_scalar/mlir_files_elementwise/elementwise_60_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1055763.0,,instructions,0.58%,2062583,100.0,0.28,insn per cycle,1055763.0,elementwise_60_2,./results_scalar/mlir_files_elementwise/elementwise_60_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
131346.0,,branches,0.45%,2062583,100.0,63.505,M/sec,131346.0,elementwise_60_2,./results_scalar/mlir_files_elementwise/elementwise_60_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13571.0,,branch-misses,0.81%,2062583,100.0,10.33,of all branches,13571.0,elementwise_60_2,./results_scalar/mlir_files_elementwise/elementwise_60_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.05,msec,task-clock,1.09%,2036708,100.0,0.528,CPUs utilized,2.05,elementwise_60_3,./results_scalar/mlir_files_elementwise/elementwise_60_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3669426.0,,cycles,1.10%,2036708,100.0,1.791,GHz,3669426.0,elementwise_60_3,./results_scalar/mlir_files_elementwise/elementwise_60_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1052681.0,,instructions,0.65%,2036708,100.0,0.29,insn per cycle,1052681.0,elementwise_60_3,./results_scalar/mlir_files_elementwise/elementwise_60_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
131097.0,,branches,0.55%,2036708,100.0,64.003,M/sec,131097.0,elementwise_60_3,./results_scalar/mlir_files_elementwise/elementwise_60_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13577.0,,branch-misses,1.01%,2036708,100.0,10.36,of all branches,13577.0,elementwise_60_3,./results_scalar/mlir_files_elementwise/elementwise_60_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.07,msec,task-clock,1.13%,2054959,100.0,0.529,CPUs utilized,2.07,elementwise_60_1,./results_scalar/mlir_files_elementwise/elementwise_60_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3713228.0,,cycles,1.13%,2054959,100.0,1.79,GHz,3713228.0,elementwise_60_1,./results_scalar/mlir_files_elementwise/elementwise_60_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1060012.0,,instructions,0.69%,2054959,100.0,0.29,insn per cycle,1060012.0,elementwise_60_1,./results_scalar/mlir_files_elementwise/elementwise_60_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
132040.0,,branches,0.56%,2054959,100.0,63.668,M/sec,132040.0,elementwise_60_1,./results_scalar/mlir_files_elementwise/elementwise_60_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13511.0,,branch-misses,0.62%,2054959,100.0,10.23,of all branches,13511.0,elementwise_60_1,./results_scalar/mlir_files_elementwise/elementwise_60_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.05,msec,task-clock,1.70%,2165667,100.0,0.524,CPUs utilized,2.05,elementwise_80_1,./results_scalar/mlir_files_elementwise/elementwise_80_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3666878.0,,cycles,1.70%,2165667,100.0,1.789,GHz,3666878.0,elementwise_80_1,./results_scalar/mlir_files_elementwise/elementwise_80_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1015522.0,,instructions,0.82%,2165667,100.0,0.28,insn per cycle,1015522.0,elementwise_80_1,./results_scalar/mlir_files_elementwise/elementwise_80_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
128395.0,,branches,0.71%,2165667,100.0,62.654,M/sec,128395.0,elementwise_80_1,./results_scalar/mlir_files_elementwise/elementwise_80_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13659.0,,branch-misses,1.03%,2165667,100.0,10.64,of all branches,13659.0,elementwise_80_1,./results_scalar/mlir_files_elementwise/elementwise_80_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.01,msec,task-clock,1.05%,2037583,100.0,0.524,CPUs utilized,2.01,elementwise_80_2,./results_scalar/mlir_files_elementwise/elementwise_80_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3602646.0,,cycles,1.05%,2037583,100.0,1.79,GHz,3602646.0,elementwise_80_2,./results_scalar/mlir_files_elementwise/elementwise_80_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1007086.0,,instructions,0.52%,2037583,100.0,0.28,insn per cycle,1007086.0,elementwise_80_2,./results_scalar/mlir_files_elementwise/elementwise_80_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
127347.0,,branches,0.40%,2037583,100.0,63.27,M/sec,127347.0,elementwise_80_2,./results_scalar/mlir_files_elementwise/elementwise_80_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13426.0,,branch-misses,0.61%,2037583,100.0,10.54,of all branches,13426.0,elementwise_80_2,./results_scalar/mlir_files_elementwise/elementwise_80_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.04,msec,task-clock,1.58%,2197834,100.0,0.528,CPUs utilized,2.04,elementwise_80_3,./results_scalar/mlir_files_elementwise/elementwise_80_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3653581.0,,cycles,1.59%,2197834,100.0,1.791,GHz,3653581.0,elementwise_80_3,./results_scalar/mlir_files_elementwise/elementwise_80_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1015577.0,,instructions,0.75%,2197834,100.0,0.28,insn per cycle,1015577.0,elementwise_80_3,./results_scalar/mlir_files_elementwise/elementwise_80_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
128628.0,,branches,0.65%,2197834,100.0,63.062,M/sec,128628.0,elementwise_80_3,./results_scalar/mlir_files_elementwise/elementwise_80_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13490.0,,branch-misses,1.29%,2197834,100.0,10.49,of all branches,13490.0,elementwise_80_3,./results_scalar/mlir_files_elementwise/elementwise_80_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.03,msec,task-clock,1.14%,2086124,100.0,0.523,CPUs utilized,2.03,elementwise_85_1,./results_scalar/mlir_files_elementwise/elementwise_85_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3623929.0,,cycles,1.14%,2086124,100.0,1.79,GHz,3623929.0,elementwise_85_1,./results_scalar/mlir_files_elementwise/elementwise_85_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
996781.0,,instructions,0.53%,2086124,100.0,0.28,insn per cycle,996781.0,elementwise_85_1,./results_scalar/mlir_files_elementwise/elementwise_85_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
126525.0,,branches,0.40%,2086124,100.0,62.481,M/sec,126525.0,elementwise_85_1,./results_scalar/mlir_files_elementwise/elementwise_85_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13511.0,,branch-misses,0.72%,2086124,100.0,10.68,of all branches,13511.0,elementwise_85_1,./results_scalar/mlir_files_elementwise/elementwise_85_1.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.03,msec,task-clock,1.42%,1935333,100.0,0.524,CPUs utilized,2.03,elementwise_85_3,./results_scalar/mlir_files_elementwise/elementwise_85_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3629206.0,,cycles,1.42%,1935333,100.0,1.79,GHz,3629206.0,elementwise_85_3,./results_scalar/mlir_files_elementwise/elementwise_85_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
1005823.0,,instructions,0.71%,1935333,100.0,0.28,insn per cycle,1005823.0,elementwise_85_3,./results_scalar/mlir_files_elementwise/elementwise_85_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
127705.0,,branches,0.55%,1935333,100.0,62.99,M/sec,127705.0,elementwise_85_3,./results_scalar/mlir_files_elementwise/elementwise_85_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
13691.0,,branch-misses,1.00%,1935333,100.0,10.72,of all branches,13691.0,elementwise_85_3,./results_scalar/mlir_files_elementwise/elementwise_85_3.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
2.02,msec,task-clock,0.97%,2036708,100.0,0.523,CPUs utilized,2.02,elementwise_85_2,./results_scalar/mlir_files_elementwise/elementwise_85_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
3623699.0,,cycles,0.97%,2036708,100.0,1.791,GHz,3623699.0,elementwise_85_2,./results_scalar/mlir_files_elementwise/elementwise_85_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
995699.0,,instructions,0.50%,2036708,100.0,0.27,insn per cycle,995699.0,elementwise_85_2,./results_scalar/mlir_files_elementwise/elementwise_85_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
126484.0,,branches,0.46%,2036708,100.0,62.52,M/sec,126484.0,elementwise_85_2,./results_scalar/mlir_files_elementwise/elementwise_85_2.csv,mlir_files_elementwise,scalar,N/A,elementwise,scalar_elementwise_N/A
