metric,operation_type,count,mean,std,min,max,median,q25,q75
task-clock,standard,186,3.938387096774193,1.2543199215361034,2.24,7.4,3.6900000000000004,2.8925,4.715
task-clock,elementwise,155,2.076193548387097,0.05505924751871564,1.98,2.21,2.06,2.04,2.0949999999999998
task-clock,sparse,310,3.157548387096775,1.0385223146253222,2.12,7.01,2.8,2.49,3.3850000000000002
cycles,standard,186,7069082.661290322,2257349.3662969237,4016082.0,13300390.0,6621439.5,5193477.75,8474742.75
cycles,elementwise,155,3717732.6774193547,98771.31380789072,3543568.0,3959335.0,3695045.0,3653796.0,3751675.0
cycles,sparse,310,5662840.138709677,1869125.8574058798,3792375.0,12602653.0,5027784.0,4456945.25,6067940.75
instructions,standard,186,2274459.88172043,1576256.2887882183,994103.0,6671305.0,1577090.5,1266656.0,2630314.75
instructions,elementwise,155,1002394.6387096774,23648.161022070293,967192.0,1083831.0,997241.0,985210.5,1012641.5
instructions,sparse,310,1419419.8322580645,486775.7844203192,960416.0,3225706.0,1219589.0,1098324.75,1596674.75
branches,standard,186,228309.7741935484,150010.1546900493,118517.0,643592.0,151545.0,133189.5,271003.25
branches,elementwise,155,127209.86451612903,1762.056679356594,124455.0,133652.0,126963.0,125931.5,127937.0
branches,sparse,310,140227.77741935482,30373.97421036922,116617.0,261888.0,130377.0,123408.0,138325.75
branch-misses,standard,186,13657.844086021505,297.031461419399,13162.0,14913.0,13604.0,13470.25,13763.75
branch-misses,elementwise,155,13434.077419354839,147.37294926517285,13159.0,13868.0,13421.0,13324.0,13535.5
branch-misses,sparse,310,15600.464516129032,1563.0714029470728,13303.0,19640.0,15515.0,14071.25,16754.75
