,Sparsity Level,Stride,Cycles,Instructions,Branch Misses,Branches,IPC
0,50,1,13132451.0,2136169.0,15324.0,130334.0,
1,50,2,12946885.0,2137904.0,14859.0,130541.0,
2,50,3,13171278.0,2145249.0,14628.0,131465.0,
3,55,1,12211278.0,2016720.0,14450.0,128825.0,
4,55,2,12022657.0,2014418.0,14218.0,128500.0,
5,55,3,12259996.0,2015582.0,14869.0,128614.0,
6,60,1,11233303.0,1887297.0,14398.0,125823.0,
7,60,2,11177546.0,1890885.0,14069.0,126205.0,
8,60,3,11397491.0,1896312.0,14291.0,127103.0,
9,65,1,10264925.0,1762091.0,13818.0,123363.0,
10,65,2,10215079.0,1759522.0,14110.0,122887.0,
11,65,3,10340052.0,1772233.0,14171.0,124520.0,
12,70,1,9384461.0,1643043.0,14877.0,121573.0,
13,70,2,9381635.0,1638682.0,14132.0,121203.0,
14,70,3,9384137.0,1646160.0,14542.0,122348.0,
15,75,1,8409274.0,1512980.0,14314.0,118866.0,
16,75,2,8512421.0,1517146.0,13709.0,119082.0,
17,75,3,8432448.0,1513807.0,14225.0,118977.0,
18,80,1,7353547.0,1382996.0,13980.0,115829.0,
19,80,2,7581081.0,1389964.0,14127.0,116542.0,
20,80,3,7479215.0,1395763.0,13786.0,117311.0,
21,85,1,6473136.0,1272039.0,14165.0,114987.0,
22,85,2,6469336.0,1254383.0,13676.0,112871.0,
23,85,3,6575183.0,1270444.0,14222.0,114705.0,
24,90,1,5447274.0,1140985.0,13998.0,111829.0,
25,90,2,5441254.0,1141277.0,13698.0,111959.0,
26,90,3,5245985.0,1135806.0,14031.0,111448.0,
27,95,1,4484119.0,1020639.0,13684.0,108805.0,
28,95,2,4545017.0,1017115.0,14036.0,109679.0,
29,95,3,4439873.0,1012814.0,13618.0,109186.0,
30,95,4,4397270.0,1016353.0,13803.0,109551.0,
