,Cycles,Cycles,Cycles,Instructions,IPC
,mean,min,max,mean,mean
Sparsity Level,,,,,
50,13083538.0,12946885.0,13171278.0,2139774.0,
55,12164643.666666666,12022657.0,12259996.0,2015573.3333333333,
60,11269446.666666666,11177546.0,11397491.0,1891498.0,
65,10273352.0,10215079.0,10340052.0,1764615.3333333333,
70,9383411.0,9381635.0,9384461.0,1642628.3333333333,
75,8451381.0,8409274.0,8512421.0,1514644.3333333333,
80,7471281.0,7353547.0,7581081.0,1389574.3333333333,
85,6505885.0,6469336.0,6575183.0,1265622.0,
90,5378171.0,5245985.0,5447274.0,1139356.0,
95,4466569.75,4397270.0,4545017.0,1016730.25,
