Executable,Sparsity Level,Stride,Implementation,Branch Misses_value,Branches_value,Context Switch_value,CPU Migration_value,Cycles_value,Instructions_value,Page Faults_value
mlir_sparsity_50_stride_1,50,1,Scalar,13742.0,620989.0,0.0,0.0,10100090.0,6499674.0,83.0
mlir_sparsity_50_stride_2,50,2,Scalar,13588.0,620953.0,0.0,0.0,10032793.0,6500318.0,83.0
mlir_sparsity_50_stride_3,50,3,Scalar,13611.0,620548.0,0.0,0.0,10052251.0,6496454.0,83.0
mlir_sparsity_55_stride_1,55,1,Scalar,13626.0,570344.0,0.0,0.0,9510600.0,5944308.0,83.0
mlir_sparsity_55_stride_2,55,2,Scalar,13629.0,568754.0,0.0,0.0,9428167.0,5933093.0,83.0
mlir_sparsity_55_stride_3,55,3,Scalar,13755.0,569202.0,0.0,0.0,9391560.0,5936820.0,83.0
mlir_sparsity_60_stride_1,60,1,Scalar,13364.0,517967.0,0.0,0.0,8779833.0,5374562.0,84.0
mlir_sparsity_60_stride_1.llvm,60,1,Scalar,13443.0,518245.0,0.0,0.0,8786906.0,4582155.0,83.0
mlir_sparsity_60_stride_2,60,2,Scalar,13633.0,518808.0,0.0,0.0,8832513.0,5382123.0,84.0
mlir_sparsity_60_stride_3,60,3,Scalar,13576.0,518641.0,0.0,0.0,8851184.0,5380408.0,83.0
mlir_sparsity_65_stride_1,65,1,Scalar,13414.0,465953.0,0.0,0.0,8095799.0,4810932.0,83.0
mlir_sparsity_65_stride_2,65,2,Scalar,13818.0,468487.0,0.0,0.0,8325362.0,4832381.0,84.0
mlir_sparsity_65_stride_3,65,3,Scalar,13455.0,466572.0,0.0,0.0,8170772.0,4815275.0,83.0
mlir_sparsity_70_stride_1,70,1,Scalar,13463.0,415899.0,0.0,0.0,7472212.0,4259105.0,83.0
mlir_sparsity_70_stride_2,70,2,Scalar,13384.0,415763.0,0.0,0.0,7615965.0,4258880.0,83.0
mlir_sparsity_70_stride_3,70,3,Scalar,13294.0,415177.0,0.0,0.0,7565611.0,4254100.0,83.0
mlir_sparsity_75_stride_1,75,1,Scalar,13533.0,363348.0,0.0,0.0,6843071.0,3690352.0,82.0
mlir_sparsity_75_stride_2,75,2,Scalar,13362.0,364101.0,0.0,0.0,7025515.0,3694785.0,82.0
mlir_sparsity_75_stride_3,75,3,Scalar,13407.0,364245.0,0.0,0.0,6872268.0,3696268.0,82.0
mlir_sparsity_80_stride_1,80,1,Scalar,13280.0,310516.0,0.0,0.0,6075904.0,3116768.0,81.0
mlir_sparsity_80_stride_2,80,2,Scalar,13410.0,313594.0,0.0,0.0,6407268.0,3142040.0,83.0
mlir_sparsity_80_stride_3,80,3,Scalar,13674.0,313630.0,0.0,0.0,6306183.0,3144523.0,83.0
mlir_sparsity_85_stride_1,85,1,Scalar,13343.0,261643.0,0.0,0.0,5518656.0,2578142.0,82.0
mlir_sparsity_85_stride_2,85,2,Scalar,13260.0,260849.0,0.0,0.0,5590424.0,2569290.0,82.0
mlir_sparsity_85_stride_3,85,3,Scalar,13446.0,261256.0,0.0,0.0,5624416.0,2572684.0,82.0
mlir_sparsity_90_stride_1,90,1,Scalar,13361.0,210192.0,0.0,0.0,4851537.0,2014168.0,82.0
mlir_sparsity_90_stride_2,90,2,Scalar,13331.0,208682.0,0.0,0.0,4829866.0,2001486.0,82.0
mlir_sparsity_90_stride_3,90,3,Scalar,13297.0,210040.0,0.0,0.0,4922842.0,2015196.0,82.0
mlir_sparsity_95_stride_1,95,1,Scalar,13325.0,157160.0,0.0,0.0,4189452.0,1441193.0,81.0
mlir_sparsity_95_stride_2,95,2,Scalar,13549.0,158614.0,0.0,0.0,4288394.0,1452736.0,82.0
mlir_sparsity_95_stride_3,95,3,Scalar,13497.0,159456.0,0.0,0.0,4352979.0,1464181.0,82.0
mlir_sparsity_95_stride_4,95,4,Scalar,13485.0,159081.0,0.0,0.0,4255483.0,1455020.0,82.0
