Executable,Sparsity Level,Stride,Implementation,Branch Misses_value,Branches_value,Context Switch_value,CPU Migration_value,Cycles_value,Instructions_value,Page Faults_value
mlir_sparsity_50_stride_1,50,1,Vector,13576.0,189528.0,0.0,0.0,6650325.0,1716217.0,82.0
mlir_sparsity_50_stride_2,50,2,Vector,13591.0,189648.0,0.0,0.0,6693349.0,1718520.0,83.0
mlir_sparsity_50_stride_3,50,3,Vector,13522.0,190032.0,0.0,0.0,6731025.0,1722838.0,82.0
mlir_sparsity_55_stride_1,55,1,Vector,13643.0,181967.0,0.0,0.0,6419326.0,1641647.0,83.0
mlir_sparsity_55_stride_1.llvm,55,1,Vector,13546.0,182473.0,0.0,0.0,6550326.0,1587444.0,83.0
mlir_sparsity_55_stride_2,55,2,Vector,13566.0,181927.0,0.0,0.0,6386207.0,1638998.0,83.0
mlir_sparsity_55_stride_3,55,3,Vector,13674.0,182784.0,0.0,0.0,6458038.0,1648911.0,83.0
mlir_sparsity_60_stride_1,60,1,Vector,13534.0,174576.0,0.0,0.0,6094639.0,1563553.0,83.0
mlir_sparsity_60_stride_2,60,2,Vector,13512.0,173580.0,0.0,0.0,6094384.0,1555897.0,83.0
mlir_sparsity_60_stride_3,60,3,Vector,13390.0,173265.0,0.0,0.0,6085780.0,1553526.0,83.0
mlir_sparsity_65_stride_1,65,1,Vector,13581.0,166825.0,0.0,0.0,5819771.0,1486147.0,84.0
mlir_sparsity_65_stride_2,65,2,Vector,13618.0,164691.0,0.0,0.0,5807850.0,1467958.0,83.0
mlir_sparsity_65_stride_3,65,3,Vector,13418.0,164585.0,0.0,0.0,5785999.0,1467589.0,83.0
mlir_sparsity_70_stride_1,70,1,Vector,13785.0,158047.0,0.0,0.0,5460073.0,1399409.0,83.0
mlir_sparsity_70_stride_2,70,2,Vector,13647.0,157857.0,0.0,0.0,5660640.0,1396935.0,83.0
mlir_sparsity_70_stride_3,70,3,Vector,13509.0,157312.0,0.0,0.0,5491397.0,1391985.0,83.0
mlir_sparsity_75_stride_1,75,1,Vector,13402.0,148894.0,0.0,0.0,5105656.0,1307539.0,82.0
mlir_sparsity_75_stride_2,75,2,Vector,13628.0,147755.0,0.0,0.0,5458029.0,1300617.0,81.0
mlir_sparsity_75_stride_3,75,3,Vector,13416.0,149107.0,0.0,0.0,5146805.0,1309592.0,83.0
mlir_sparsity_80_stride_1,80,1,Vector,13437.0,141287.0,0.0,0.0,4784915.0,1230221.0,82.0
mlir_sparsity_80_stride_2,80,2,Vector,13247.0,139889.0,0.0,0.0,5075366.0,1219256.0,82.0
mlir_sparsity_80_stride_3,80,3,Vector,13561.0,140019.0,0.0,0.0,4894461.0,1220351.0,82.0
mlir_sparsity_85_stride_1,85,1,Vector,13540.0,132842.0,0.0,0.0,4512728.0,1146280.0,82.0
mlir_sparsity_85_stride_2,85,2,Vector,13330.0,131927.0,0.0,0.0,4655899.0,1139146.0,82.0
mlir_sparsity_85_stride_3,85,3,Vector,13581.0,131399.0,0.0,0.0,4586577.0,1134908.0,82.0
mlir_sparsity_90_stride_1,90,1,Vector,13506.0,123114.0,0.0,0.0,4147547.0,1052568.0,82.0
mlir_sparsity_90_stride_2,90,2,Vector,13453.0,124533.0,0.0,0.0,4253865.0,1062390.0,82.0
mlir_sparsity_90_stride_3,90,3,Vector,13500.0,123857.0,0.0,0.0,4200197.0,1056939.0,82.0
mlir_sparsity_95_stride_1,95,1,Vector,13528.0,115711.0,0.0,0.0,3876228.0,976358.0,82.0
mlir_sparsity_95_stride_2,95,2,Vector,13475.0,114103.0,0.0,0.0,3862422.0,963745.0,81.0
mlir_sparsity_95_stride_3,95,3,Vector,13301.0,114889.0,0.0,0.0,3873097.0,969117.0,82.0
mlir_sparsity_95_stride_4,95,4,Vector,13445.0,114405.0,0.0,0.0,3850411.0,965481.0,82.0
