Sparsity Level,Stride,cycles_speedup,instructions_speedup,branches_speedup
50,1,1.4732846998121651,4.642654131347987,3.892005891385416
50,2,1.4603468282469771,4.647233601429848,3.899135971466965
50,3,1.4726958862237516,4.636065728195386,3.88519981718121
55,1,1.4331150444531473,4.367596814699758,3.664295947934134
55,2,1.4385051468216588,4.4011365777452705,3.6886807748931507
55,3,1.419219477342502,4.367476504882938,3.6645871559633028
60,1,1.4329162129556368,4.1346473993064,3.4673990172845457
60,1,1.4340705647951577,3.525049158232581,3.4692600179405817
60,2,1.4194725146651825,4.132579678185208,3.4670872371991073
60,3,1.412196426360537,4.144584178748985,3.4792709269719455
65,1,1.3738887787699046,3.854107434262546,3.2332250856960463
65,2,1.393608594634045,3.850938512564768,3.235899100692094
65,3,1.3762129994532724,3.8426778623322564,3.227063030412018
70,1,1.3523078164866114,3.5540995891064817,2.9945350863297957
70,2,1.341679347732259,3.568972611406788,3.0046106594399276
70,3,1.3632257171717972,3.5796749253620823,3.0147770016120363
75,1,1.321384482978686,3.2444708588148,2.741131916049308
75,2,1.265446547403395,3.2164169554646143,2.721660350279192
75,3,1.3096649964896554,3.224911683437144,2.731147885158997
80,1,1.2649060267812067,2.853276477163392,2.426816306114793
80,2,1.239320183845759,2.861053112744272,2.4380865008590997
80,3,1.2681311755753681,2.851412093816167,2.4246430255660956
85,1,1.2261312204376533,2.4798506400317035,2.1362099934683214
85,2,1.1888693689028547,2.458549552506452,2.115735258334009
85,3,1.2145009847656612,2.481319340561196,2.14117936319305
90,1,1.159035739310566,2.027876444766622,1.7821036745629355
90,2,1.1298423744284547,2.006466048732955,1.7598859812611214
90,3,1.1571346705409866,2.03421797225859,1.7855533736281486
95,1,1.075195510997686,1.5457340878279822,1.4094814442790264
95,2,1.0788314873123162,1.5443827618539363,1.4110184946313082
95,3,1.1041948445292247,1.564065340793772,1.42215245756892
95,4,1.083467149465597,1.54874542700613,1.417164797377353
