Sparsity Level,Stride,cycles_speedup,instructions_speedup,branches_speedup
50,2,1.4989197485444132,3.7825093685264064,3.27423964397199
55,2,1.4763328216576757,3.6199513361212157,3.12627592385957
60,2,1.449287245437767,3.4591769249506874,2.988869685447632
65,2,1.4334671177802456,3.29190685292086,2.8446423909017495
70,2,1.3454247222928857,3.0487316875874684,2.6337951437060125
75,2,1.2871890200656684,2.8407940231444,2.4642211769483264
80,2,1.2624248182298576,2.5770141791387533,2.2417345180821937
85,2,1.2007184863761005,2.255452769004149,1.9772222516998037
90,2,1.1354065067885324,1.8839465732922938,1.6757164767571648
95,2,1.1102862400845894,1.5073862899418415,1.3900949142441479
